Time,electricity_demand_values,heat_demand_values,air_pressure,air_temperature,relative_humidity,wind_speed,solar_irridiation_positive,total_cloud_cover_percent,wind_speed_range,air_temperature_range
2017-05-10,11605.9690536052,0.0,732.4916666666667,32.387499999999996,43.916666666666664,4.875,257.875,29.166666666666668,8.0,17.300000000000004
2017-05-11,13549.952653021319,0.0,733.4125,30.875,47.0,3.9583333333333335,276.625,21.875,9.0,18.299999999999997
2017-05-12,12277.0628167437,0.0,733.7458333333334,27.599999999999998,61.666666666666664,3.125,242.95833333333334,26.041666666666668,6.0,15.5
2017-05-13,11083.29242315682,56.5715028948,733.5208333333334,31.133333333333336,44.541666666666664,4.916666666666667,249.125,15.625,9.0,14.400000000000002
2017-05-14,11780.99130047238,0.0,732.5916666666667,30.883333333333336,48.083333333333336,5.666666666666667,273.5,13.541666666666666,8.0,16.7
2017-05-15,7359.049963196874,358.74041579415,732.25,29.8625,53.166666666666664,3.0833333333333335,248.70833333333334,16.666666666666668,7.0,20.5
2017-05-16,7044.822355616816,1115.0499107389,731.3666666666667,27.433333333333334,64.875,6.291666666666667,265.7083333333333,22.916666666666668,11.0,11.699999999999996
2017-05-17,9638.836154698874,718.41291573025,730.8166666666666,27.21666666666667,65.91666666666667,5.833333333333333,282.4166666666667,34.375,11.0,19.400000000000002
2017-05-18,9924.44472684626,150.62312118905,731.4625,25.325,67.83333333333333,4.166666666666667,256.6666666666667,52.083333333333336,10.0,18.3
2017-05-19,9537.6921936724,21.741833144146,730.9,25.420833333333334,55.791666666666664,4.916666666666667,274.75,21.875,13.0,20.5
2017-05-20,11258.153688299835,217.5489282828,728.3458333333333,28.4375,52.041666666666664,6.958333333333333,259.875,16.666666666666668,9.0,18.900000000000002
2017-05-21,12992.567899345731,353.608710467,733.7125,24.358333333333334,55.375,4.875,275.7083333333333,20.833333333333332,10.0,16.1
